Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Artwork frame material (product.metafields.shopify.artwork-frame-material),Coffee/Tea set pieces included (product.metafields.shopify.coffee-tea-set-pieces-included),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Desk organizer features (product.metafields.shopify.desk-organizer-features),Display sign design (product.metafields.shopify.display-sign-design),Display technology (product.metafields.shopify.display-technology),Frame style (product.metafields.shopify.frame-style),Material (product.metafields.shopify.material),Mounting hardware (product.metafields.shopify.mounting-hardware),Portability (product.metafields.shopify.portability),Shape (product.metafields.shopify.shape),Stationery binding type (product.metafields.shopify.stationery-binding-type),Suitable space (product.metafields.shopify.suitable-space),Theme (product.metafields.shopify.theme),Vase shape (product.metafields.shopify.vase-shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
happiness-frame-combo,,,,,,,,,25 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,15999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/IMG_4293.jpg?v=1759585359,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_mer4y7mer4y7mer4.png?v=1759585346,kg,,,
happiness-frame-combo,,,,,,,,,30 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,16999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_mer4y7mer4y7mer4.png?v=1759585346,kg,,,
happiness-frame-combo,,,,,,,,,35 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,17999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_mer4y7mer4y7mer4.png?v=1759585346,kg,,,
happiness-frame-combo,,,,,,,,,40 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,18999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_mer4y7mer4y7mer4.png?v=1759585346,kg,,,
happiness-frame-combo,,,,,,,,,45 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,19999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_mer4y7mer4y7mer4.png?v=1759585346,kg,,,
happiness-frame-combo,,,,,,,,,50 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,20999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_mer4y7mer4y7mer4.png?v=1759585346,kg,,,
video-book-moohrat-combo,VIDEO BOOK MOOHRAT COMBO,"<h3><b>Elegance and Convenience in One Perfect Package</b></h3>
<p> </p>
<p>Handcrafted by <b>VowShot by Lightroom Productions</b>, the <b>VIDEO BOOK MOOHRAT COMBO</b> offers a revolutionary way to preserve and experience your wedding memories. This premium package seamlessly blends the timeless beauty of physical keepsakes with modern technology, featuring a built-in <b>video book</b> alongside a luxurious memory box and a designer album cover.</p>
<hr>
<p> </p>
<h3>✨ <b>Product Features</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>Video Book:</b> This is the centerpiece of the combo—a delightful album that captures your memories in motion. Open the album to instantly play your favorite wedding videos on a built-in screen, bringing your special moments to life in a portable package.</p>
</li>
<li>
<p><b>Box of Memories:</b> Safeguard your physical album and other treasures in style with our elegant memory box—a timeless home for your most treasured photographs and video book.</p>
</li>
<li>
<p><b>Designer Cover:</b> Make a statement with our exclusive designer cover, crafted to reflect your unique style and personality, providing a sophisticated look for your memories.</p>
</li>
<li>
<p><b>Premium Quality:</b> Built with precision and high-quality materials, guaranteeing enduring beauty and lasting durability for both the physical and digital components.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📏 <b>Available Sizes</b>
</h3>
<p> </p>
<ul>
<li>
<p><i>Note: Sizes for the physical album are not explicitly listed on the provided image, but based on typical VowShot offerings, the album within the box is likely available in the following sizes:</i><b></b></p>
<ul>
<li>
<p><b>12x36</b><b></b></p>
</li>
<li>
<p><b>14x40</b></p>
</li>
</ul>
<p> </p>
</li>
</ul>
<p> </p>
<h3>📄 <b>Paper Options</b>
</h3>
<p> </p>
<ul>
<li>
<p>Belgium Series – <b>Glossy &amp; Matt</b> (Both Waterproof)</p>
</li>
</ul>
<p> </p>
<h3>📸 <b>Capacity</b>
</h3>
<p> </p>
<ul>
<li>
<p>Each sheet holds up to <b>6 photos on average</b> (e.g., 20 sheets = approximately 120 photos).</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📦 <b>What's Included</b>
</h3>
<p> </p>
<p>The VIDEO BOOK MOOHRAT COMBO provides an innovative and elegant memory solution:</p>
<ul>
<li>
<p><b>1 Premium Photo Album</b> (The Video Book)</p>
</li>
<li>
<p><b>1 Elegant Memory Box</b> (The outer packaging)</p>
</li>
</ul>
<hr>
<p> </p>
<h3>🛡️ <b>Guaranteed Assurance</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>10 Years Warranty:</b> Guaranteed durability and long-lasting color protection.</p>
</li>
<li>
<p><b>All-Inclusive Cost:</b> <b>Designing Charges &amp; Printing Charges included</b>, offering complete value.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📝 <b>How to Order</b>
</h3>
<p> </p>
<ol start=""1"">
<li>
<p><b>Share Your Files:</b> WhatsApp your photos/videos or share a Google Drive link to <b>7044007755</b> or email your files to <b>print.vowshot@gmail.com</b>.</p>
</li>
<li>
<p><b>Confirm Details:</b> Confirm your preferred size, paper type, and cover design.</p>
</li>
<li>
<p><b>Review &amp; Approve:</b> Receive a digital preview before final printing to ensure absolute satisfaction with your design and video arrangement.</p>
</li>
</ol>",Vowshot,Home & Garden > Household Supplies > Storage & Organization > Photo Storage > Photo Albums,"albums,photobooks & megabooks",,True,Size,20 Sheets,,,,,,,,,6.5,shopify,50.0,deny,manual,18999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,1.0,,False,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,case,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,g,,,active
video-book-moohrat-combo,,,,,,,,,25 Sheets,,,,,,,,,6.5,shopify,50.0,deny,manual,19999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/IMG_4294.jpg?v=1759585669,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,g,,,
video-book-moohrat-combo,,,,,,,,,30 Sheets,,,,,,,,,6.5,shopify,50.0,deny,manual,20999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,g,,,
video-book-moohrat-combo,,,,,,,,,35 Sheets,,,,,,,,,6.5,shopify,55.0,deny,manual,21999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,g,,,
video-book-moohrat-combo,,,,,,,,,40 Sheets,,,,,,,,,6.5,shopify,50.0,deny,manual,22999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,g,,,
video-book-moohrat-combo,,,,,,,,,45 Sheets,,,,,,,,,6.5,shopify,50.0,deny,manual,23999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,g,,,
video-book-moohrat-combo,,,,,,,,,50 Sheets,,,,,,,,,6.5,shopify,50.0,deny,manual,24999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_cw4lzacw4lzacw4l.png?v=1759585654,g,,,
bestseller-2-in-1-combo-premium,BESTSELLER 2 IN 1 COMBO PREMIUM,"<h3><b>Preserving Precious Moments: Engraved Album Box and Cover</b></h3>
<p> </p>
<p>Handcrafted by <b>VowShot by Lightroom Productions</b>, the <b>BESTSELLER 2 IN 1 COMBO</b> is a signature choice for couples seeking elegant preservation. This popular combo pairs a <b>premium photo album</b> with a sophisticated, <b>engraved memory box</b>, ensuring your most cherished wedding memories are safeguarded in timeless style.</p>
<hr>
<p> </p>
<h3>✨ <b>Product Features</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>Box of Memories:</b> Safeguard your precious moments in style with our elegant, durable memory box. Often featuring beautiful engraving, this timeless treasure chest is the perfect home for your treasured photographs.</p>
</li>
<li>
<p><b>Designer Cover:</b> Make a statement with our exclusive designer cover, crafted to reflect your unique style and personality, providing a gorgeous presentation for your album.</p>
</li>
<li>
<p><b>Premium Quality:</b> Built with precision and high-quality materials, guaranteeing enduring beauty and lasting durability.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📏 <b>Available Sizes</b>
</h3>
<ul>
<li>
<p><b>12x36</b><b></b></p>
</li>
<li>
<p><b>14x40</b></p>
</li>
</ul>
<p> </p>
<h3>📄 <b>Paper Options</b>
</h3>
<p> </p>
<ul>
<li>
<p>Belgium Series – <b>Glossy &amp; Matt</b> (Both Waterproof)</p>
</li>
</ul>
<p> </p>
<h3>📸 <b>Capacity</b>
</h3>
<p> </p>
<ul>
<li>
<p>Each sheet holds up to <b>6 photos on average</b> (e.g., 20 sheets = approximately 120 photos).</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📦 <b>What's Included</b>
</h3>
<p> </p>
<p>The BESTSELLER 2 IN 1 COMBO is focused on elegant preservation:</p>
<ul>
<li>
<p><b>1 Premium Photo Album</b> (Contained within)</p>
</li>
<li>
<p><b>1 Elegant Memory Box</b> (The outer packaging)</p>
</li>
</ul>
<hr>
<p> </p>
<h3>🛡️ <b>Guaranteed Assurance</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>10 Years Warranty:</b> Guaranteed durability and long-lasting color protection.</p>
</li>
<li>
<p><b>All-Inclusive Cost:</b> <b>Designing Charges &amp; Printing Charges included</b>, providing clear, complete value.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📝 <b>How to Order</b>
</h3>
<p> </p>
<ol start=""1"">
<li>
<p><b>Share Your Photos:</b> WhatsApp your photos or share a Google Drive link to <b>7044007755</b> or email your files to <b>print.vowshot@gmail.com</b>.</p>
</li>
<li>
<p><b>Confirm Details:</b> Confirm your preferred size, paper type, and cover design.</p>
</li>
<li>
<p><b>Review &amp; Approve:</b> Receive a digital preview before final printing to ensure absolute satisfaction with your design.</p>
</li>
</ol>",Vowshot,Home & Garden > Household Supplies > Storage & Organization > Photo Storage > Photo Albums,"albums,photobooks & megabooks",,True,Size,20 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,12999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,1.0,,False,,,,,,,,,,,,,,,,,,brown; pink,,,,,,,,,,case,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,kg,,,active
bestseller-2-in-1-combo-premium,,,,,,,,,25 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,13999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/IMG_4295.jpg?v=1759586255,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,kg,,,
bestseller-2-in-1-combo-premium,,,,,,,,,30 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,14999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,kg,,,
bestseller-2-in-1-combo-premium,,,,,,,,,35 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,15999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,kg,,,
bestseller-2-in-1-combo-premium,,,,,,,,,40 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,16999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,kg,,,
bestseller-2-in-1-combo-premium,,,,,,,,,45 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,17999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,kg,,,
bestseller-2-in-1-combo-premium,,,,,,,,,50 Sheets,,,,,,,,,5000.0,,0.0,deny,manual,18999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_2mfq032mfq032mfq.png?v=1759586243,kg,,,
silk-4-in-1-combo,SILK 4 IN 1 COMBO,"<h3><b>Elegance, Creativity, and Convenience in One Keepsake</b></h3>
<p> </p>
<p>Handcrafted by <b>VowShot by Lightroom Productions</b>, the <b>SILK 4 IN 1 COMBO</b> is designed to transform your wedding memories into an immersive storytelling experience. This comprehensive package brings together four essential elements—a premium album, a mini book, a table calendar, and a luxurious memory box—all finished in an elegant, signature silk texture.</p>
<hr>
<p> </p>
<h3>✨ <b>Product Highlights</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>Box of Memories (Silk Finish):</b> Safeguard your most precious moments in style with our elegant, leather-finish memory box. With its unique <b>silk texture</b> and secure metal clasp, it serves as a timeless treasure chest for all your keepsakes.</p>
</li>
<li>
<p><b>Premium Album:</b> Your main wedding story, beautifully presented with a rich, personalized cover and high-quality prints.</p>
</li>
<li>
<p><b>Miniature Masterpiece:</b> A compact <b>mini book</b> designed for easy sharing, carrying, or gifting—your memories, made portable.</p>
</li>
<li>
<p><b>Year-Round Calendar:</b> Relive your favorite moments every day with a <b>personalized photo calendar</b>, blending functionality with sentiment.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📏 <b>Available Sizes</b>
</h3>
<ul>
<li>
<p><b>12x36</b><b></b></p>
</li>
<li>
<p><b>14x40</b></p>
</li>
</ul>
<p> </p>
<h3>📄 <b>Paper Options</b>
</h3>
<p> </p>
<ul>
<li>
<p>Belgium Series – <b>Glossy &amp; Matt</b> (Both Waterproof)</p>
</li>
</ul>
<p> </p>
<h3>📸 <b>Capacity</b>
</h3>
<p> </p>
<ul>
<li>
<p>Each sheet holds up to <b>6 photos on average</b> (e.g., 20 sheets = approximately 120 photos).</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📦 <b>What's Included</b>
</h3>
<p> </p>
<p>The SILK 4 IN 1 COMBO is a complete memory package:</p>
<ul>
<li>
<p><b>1 Premium Photo Album</b></p>
</li>
<li>
<p><b>1 Elegant Silk Memory Box</b> (The outer packaging)</p>
</li>
<li>
<p><b>1 Miniature Masterpiece (Mini Book)</b></p>
</li>
<li>
<p><b>1 Personalized Table Calendar</b></p>
</li>
</ul>
<hr>
<p> </p>
<h3>🛡️ <b>Guaranteed Assurance</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>10 Years Warranty:</b> Guaranteed durability and long-lasting color protection.</p>
</li>
<li>
<p><b>All-Inclusive Cost:</b> <b>Designing Charges &amp; Printing Charges included</b>, offering complete value.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📝 <b>How to Order</b>
</h3>
<p> </p>
<ol start=""1"">
<li>
<p><b>Share Your Photos:</b> WhatsApp your photos or share a Google Drive link to <b>7044007755</b> or email your files to <b>print.vowshot@gmail.com</b>.</p>
</li>
<li>
<p><b>Confirm Details:</b> Confirm your preferred size, paper type, and cover design.</p>
</li>
<li>
<p><b>Review &amp; Approve:</b> Receive a digital preview before final printing to ensure absolute satisfaction with your design.</p>
</li>
</ol>",Vowshot,Home & Garden > Household Supplies > Storage & Organization > Photo Storage > Photo Albums,"albums,photobooks & megabooks",,True,Size,20 Sheets,,Color,Brown,,,,,,4500.0,,0.0,deny,manual,14999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,1.0,,False,,,,,,,,,,,,,,,,,,brown; beige,,,,,,,,,,case,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,kg,,,active
silk-4-in-1-combo,,,,,,,,,20 Sheets,,,Woody,,,,,,4500.0,,0.0,deny,manual,14999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,kg,,,
silk-4-in-1-combo,,,,,,,,,25 Sheets,,,Brown,,,,,,4500.0,,0.0,deny,manual,15999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/IMG_4287.jpg?v=1759587541,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,kg,,,
silk-4-in-1-combo,,,,,,,,,25 Sheets,,,Woody,,,,,,4500.0,,0.0,deny,manual,15999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/IMG_4288.jpg?v=1759588194,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,kg,,,
silk-4-in-1-combo,,,,,,,,,30 Sheets,,,Brown,,,,,,4500.0,,0.0,deny,manual,16999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,kg,,,
silk-4-in-1-combo,,,,,,,,,30 Sheets,,,Woody,,,,,,4500.0,,0.0,deny,manual,16999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,kg,,,
silk-4-in-1-combo,,,,,,,,,35 Sheets,,,Brown,,,,,,4500.0,,0.0,deny,manual,17999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,kg,,,
silk-4-in-1-combo,,,,,,,,,35 Sheets,,,Woody,,,,,,4500.0,,0.0,deny,manual,17999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,kg,,,
silk-4-in-1-combo,,,,,,,,,40 Sheets,,,Brown,,,,,,4500.0,,0.0,deny,manual,18999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,kg,,,
silk-4-in-1-combo,,,,,,,,,40 Sheets,,,Woody,,,,,,4500.0,,0.0,deny,manual,18999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,kg,,,
silk-4-in-1-combo,,,,,,,,,45 Sheets,,,Brown,,,,,,4500.0,,0.0,deny,manual,19999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,kg,,,
silk-4-in-1-combo,,,,,,,,,45 Sheets,,,Woody,,,,,,4500.0,,0.0,deny,manual,19999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,kg,,,
silk-4-in-1-combo,,,,,,,,,50 Sheets,,,Brown,,,,,,4500.0,,0.0,deny,manual,20999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_ox4l4zox4l4zox4l.png?v=1759588007,kg,,,
silk-4-in-1-combo,,,,,,,,,50 Sheets,,,Woody,,,,,,4500.0,,0.0,deny,manual,20999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_komgldkomgldkomg.png?v=1759587527,kg,,,
welcome-engraving-combo,WELCOME ENGRAVING COMBO,"<h3><b>Simplifying Your Wedding Memories with Premium Quality</b></h3>
<p> </p>
<p>Handcrafted by <b>VowShot by Lightroom Productions</b>, the <b>WELCOME ENGRAVING COMBO</b> offers unparalleled elegance and customization. This signature combo elevates your wedding album into a sophisticated, personalized keepsake, featuring an exquisite <b>engraved cover</b> and a stylish, handled memory box.</p>
<hr>
<p> </p>
<h3>✨ <b>Product Features</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>Box of Memories (Handled Design):</b> Safeguard your precious moments in style with our elegant, durable memory box. The unique <b>handled design</b> makes it easy to carry and present, while the secure clasp ensures your treasures are safe.</p>
</li>
<li>
<p><b>Designer Cover (Engraved):</b> Make a statement with our exclusive designer cover, crafted to reflect your unique style and personality. The deep, custom <b>engraving</b> on both the box and the cover adds a permanent, luxurious touch to your memories.</p>
</li>
<li>
<p><b>Premium Quality:</b> Built with precision and high-quality materials, guaranteeing enduring beauty and lasting durability.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📏 <b>Available Sizes</b>
</h3>
<p> </p>
<ul>
<li>
<p><i>Note: While the sizes are partially visible in the image, the typical full range for VowShot albums is included for completeness:</i><b></b></p>
</li>
<li>
<p> </p>
<ul>
<li>
<p><b>12x36</b><b></b></p>
</li>
<li>
<p><b>14x40</b></p>
</li>
</ul>
<p> </p>
</li>
</ul>
<p> </p>
<h3>📄 <b>Paper Options</b>
</h3>
<p> </p>
<ul>
<li>
<p>Belgium Series – <b>Glossy &amp; Matt</b> (Both Waterproof)</p>
</li>
</ul>
<p> </p>
<h3>📸 <b>Capacity</b>
</h3>
<p> </p>
<ul>
<li>
<p>Each sheet holds up to <b>6 photos on average</b> (e.g., 20 sheets = approximately 120 photos).</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📦 <b>What's Included</b>
</h3>
<p> </p>
<p>The WELCOME ENGRAVING COMBO is focused on elegant, engraved presentation:</p>
<ul>
<li>
<p><b>1 Premium Photo Album</b> (Contained within)</p>
</li>
<li>
<p><b>1 Elegant Memory Box with Handle</b> (The outer packaging)</p>
</li>
</ul>
<hr>
<p> </p>
<h3>🛡️ <b>Guaranteed Assurance</b>
</h3>
<p> </p>
<ul>
<li>
<p><b>10 Years Warranty:</b> Guaranteed durability and long-lasting color protection.</p>
</li>
<li>
<p><b>All-Inclusive Cost:</b> <b>Designing Charges &amp; Printing Charges included</b>, providing clear, complete value.</p>
</li>
</ul>
<hr>
<p> </p>
<h3>📝 <b>How to Order</b>
</h3>
<p> </p>
<ol start=""1"">
<li>
<p><b>Share Your Photos:</b> WhatsApp your photos or share a Google Drive link to <b>7044007755</b> or email your files to <b>print.vowshot@gmail.com</b>.</p>
</li>
<li>
<p><b>Confirm Details:</b> Confirm your preferred size, paper type, and cover design/engraving details.</p>
</li>
<li>
<p><b>Review &amp; Approve:</b> Receive a digital preview before final printing to ensure absolute satisfaction with your design.</p>
</li>
</ol>",Vowshot,Home & Garden > Household Supplies > Storage & Organization > Photo Storage > Photo Albums,"albums,photobooks & megabooks",,True,Size,20 Sheets,,,,,,,,,2500.0,,0.0,deny,manual,8999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_luahayluahayluah.png?v=1759590253,1.0,,False,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,case,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_luahayluahayluah.png?v=1759590253,kg,,,active
welcome-engraving-combo,,,,,,,,,25 Sheets,,,,,,,,,2500.0,,0.0,deny,manual,9999.0,,True,False,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/IMG_4289.jpg?v=1759590321,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_luahayluahayluah.png?v=1759590253,kg,,,
welcome-engraving-combo,,,,,,,,,30 Sheets,,,,,,,,,2500.0,,0.0,deny,manual,10999.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/8609/1366/files/Gemini_Generated_Image_luahayluahayluah.png?v=1759590253,kg,,,
